top_k_ids,top_k_tokens,baseline,reinforced,50 steps,100 steps,150 steps,200 steps,250 steps,300 steps,350 steps,400 steps,450 steps,500 steps,550 steps,600 steps,650 steps,700 steps,750 steps,800 steps,850 steps,900 steps,950 steps,1000 steps,1050 steps,1100 steps,1150 steps,1200 steps
5208,▁Gal,0.9312843680381775,0.12141750752925873,0.8303207755088806,0.39152291417121887,0.34987083077430725,0.22359327971935272,0.14376850426197052,0.09100386500358582,0.0599408857524395,0.054658982902765274,0.04402134194970131,0.04356733337044716,0.04714957997202873,0.049424923956394196,0.056578733026981354,0.0627756267786026,0.0665055364370346,0.06593065708875656,0.06423384696245193,0.06964042782783508,0.07417841255664825,0.07159517705440521,0.07343646883964539,0.07387387007474899,0.07394001632928848,0.0739850252866745
13378,▁Empire,0.03287108615040779,0.7742554545402527,0.02610507234930992,0.051807526499032974,0.10637810826301575,0.17390045523643494,0.2415740042924881,0.2680423855781555,0.34949126839637756,0.3095118999481201,0.31002867221832275,0.32350367307662964,0.2922160029411316,0.2797670364379883,0.29156294465065,0.25695526599884033,0.24515029788017273,0.24354374408721924,0.25236931443214417,0.24223542213439941,0.24191372096538544,0.2441423535346985,0.24279595911502838,0.24260060489177704,0.24249917268753052,0.2421255111694336
6898,▁gal,0.01437812764197588,0.0008629098301753402,0.0365222692489624,0.01752394437789917,0.0071501173079013824,0.003676287131384015,0.00185241864528507,0.001480548526160419,0.001417330582626164,0.0013400675961747766,0.0015401951968669891,0.002007364295423031,0.002233945531770587,0.0025262697599828243,0.002933939453214407,0.0035745217464864254,0.00371453445404768,0.0036434661597013474,0.0038893306627869606,0.00413206173107028,0.0042970022186636925,0.004237497225403786,0.004285200498998165,0.004322567954659462,0.004314896650612354,0.004314608871936798
21080,▁Imperial,0.003312742570415139,0.03201984986662865,0.00590108847245574,0.018380319699645042,0.011173391714692116,0.011217866092920303,0.014635368250310421,0.01650943048298359,0.022033698856830597,0.02954161912202835,0.0322088822722435,0.04153186082839966,0.04279801994562149,0.050206560641527176,0.054470840841531754,0.06418456137180328,0.06477593630552292,0.06993740797042847,0.07453843206167221,0.07932454347610474,0.07683680206537247,0.08083904534578323,0.08307383209466934,0.0829830914735794,0.0834854319691658,0.08344198018312454
2913,▁space,0.0028266054578125477,0.004430251196026802,0.016983281821012497,0.06367088854312897,0.04914051666855812,0.030937237665057182,0.019566401839256287,0.020055152475833893,0.019570263102650642,0.019938234239816666,0.0225322637706995,0.027634460479021072,0.03093191795051098,0.032204411923885345,0.036280177533626556,0.038348399102687836,0.041987095028162,0.038434866815805435,0.0432748980820179,0.04301521182060242,0.04102851077914238,0.04131434112787247,0.04062657430768013,0.040354613214731216,0.04031851142644882,0.04037122428417206
3710,▁emp,0.002409515203908086,0.020244764164090157,0.006597935222089291,0.01723484694957733,0.026742447167634964,0.0424189530313015,0.04911329224705696,0.044418662786483765,0.04686534032225609,0.03491239249706268,0.03615458682179451,0.04016011580824852,0.037161685526371,0.03769643232226372,0.0395183302462101,0.03746820613741875,0.03528072312474251,0.03652862086892128,0.03638250008225441,0.0345451682806015,0.03474011272192001,0.03428259491920471,0.03416409343481064,0.03373800218105316,0.033576980233192444,0.033553801476955414
15400,▁galax,0.0010109617142006755,0.0004548195574898273,0.00210860138759017,0.002659902675077319,0.002315990859642625,0.001227311440743506,0.0006384837906807661,0.0003506006032694131,0.0002727287937887013,0.0001989721495192498,0.00017534417565912008,0.00021309427393134683,0.00021561578614637256,0.00020571007917169482,0.0002645687782205641,0.0002591866359580308,0.00028067160747013986,0.00027188638341613114,0.00030081646400503814,0.0003099885943811387,0.00032686206395737827,0.0003316777874715626,0.00032373055000789464,0.0003253647591918707,0.00032381544588133693,0.0003239419311285019
856,...,0.0007220485131256282,0.00013610342284664512,0.0038789405953139067,0.008747716434299946,0.010611451230943203,0.004257094580680132,0.0021685147657990456,0.0016432570992037654,0.001013212837278843,0.0011007011635228992,0.0011493476340547204,0.0009710321901366115,0.0008362803491763771,0.0007498700870200992,0.0005835661431774497,0.0005326324026100338,0.0004477875481825322,0.00045590216177515686,0.00039667991222813725,0.00041276958654634655,0.0003663896641228348,0.00037931735278107226,0.00035640885471366346,0.0003593686851672828,0.00035644404124468565,0.00035727632348425686
13,<0x0A>,0.0006884554168209434,0.00010122741514351219,0.0066454424522817135,0.028068745508790016,0.0065091513097286224,0.0011092069325968623,0.0005254013231024146,0.0003953244013246149,0.0003889099170919508,0.0005721935885958374,0.0007236839737743139,0.000872551987413317,0.0008182436577044427,0.0009426891338080168,0.0008998928242363036,0.0007700424757786095,0.0006980724865570664,0.000655139097943902,0.0006563580245710909,0.0005998712731525302,0.0005848982837051153,0.0005837457138113678,0.0005498938262462616,0.0005567223997786641,0.000553842110093683,0.0005555269890464842
26990,▁imperial,0.0006659636273980141,0.007955948822200298,0.001679191249422729,0.003098811022937298,0.0014044174458831549,0.0009481449378654361,0.00090119888773188,0.0008957652607932687,0.0010099838254973292,0.001194814103655517,0.0013638027012348175,0.002042078413069248,0.0021934076212346554,0.002580855507403612,0.002956968965008855,0.003501169616356492,0.0035371417179703712,0.003642559517174959,0.004217271227389574,0.004207503981888294,0.004243018105626106,0.004417870659381151,0.004409306682646275,0.004439213313162327,0.004437589552253485,0.00443669268861413
